Truck_id,Route_id,Origin,Destination,Completion_Time_alone,Completion_Time,Congestion_ratio,CompletionTime_by_Distance,PickupSta_AT,DropSta_AT,,,C_max_prev,C_max_now,C_max,Congestion_ratio_AVG_prev,Congestion_ratio_AVG_now,Congestion_ratio_AVG
Truck-9,Route-9,(175.0 0.0 205.5),(125.0 0.0 150.0),341.2643,342.304,0.02519545,22.82026,6.728,30.592,,,422.664,411.24,422.664,0.1020127,0.0008692575,0.051441
Truck-1,Route-1,(425.0 0.0 55.5),(125.0 0.0 200.0),348.433,353,0.0942949,18.57895,6.736,41.256
Truck-5,Route-5,(425.0 0.0 205.5),(375.0 0.0 100.0),344.8487,353.44,0.1915629,20.79059,6.736,41.696
Truck-2,Route-2,(675.0 0.0 205.5),(125.0 0.0 100.0),362.7704,359.984,-0.04439046,13.33274,6.736,48.248
Truck-3,Route-3,(675.0 0.0 5.5),(375.0 0.0 200.0),352.0174,363.496,0.2206693,17.30933,6.736,51.736
Truck-7,Route-7,(675.0 0.0 55.5),(125.0 0.0 200.0),366.3548,370.888,0.06831813,12.78924,6.736,59.128
Truck-0,Route-0,(175.0 0.0 105.5),(125.0 0.0 0.0),377.1078,384.896,0.1010033,10.99703,33.848,42.96
Truck-8,Route-8,(675.0 0.0 105.5),(375.0 0.0 0.0),377.1078,390.32,0.1713465,11.152,33.664,51.616
Truck-6,Route-6,(675.0 0.0 155.5),(625.0 0.0 150.0),380.6922,391.952,0.1395401,10.5933,29.848,57.04
Truck-4,Route-4,(425.0 0.0 155.5),(625.0 0.0 200.0),416.5357,422.664,0.05258728,7.415158,34.696,82.92
Truck-106,Route-106,(675.0 0.0 205.5),(375.0 0.0 150.0),341.2643,338.528,-0.06631148,22.56853,6.888,26.688
Truck-108,Route-108,(425.0 0.0 5.5),(375.0 0.0 200.0),352.0174,354.536,0.04841933,16.88267,6.888,42.656
Truck-100,Route-100,(425.0 0.0 55.5),(625.0 0.0 200.0),366.3548,363.368,-0.04501192,12.52993,6.888,51.472
Truck-103,Route-103,(175.0 0.0 155.5),(625.0 0.0 200.0),377.1078,369.888,-0.09363312,10.56823,6.888,57.968
Truck-105,Route-105,(425.0 0.0 105.5),(375.0 0.0 200.0),380.6922,374.456,-0.07728387,10.12043,22.736,46.712
Truck-104,Route-104,(675.0 0.0 55.5),(625.0 0.0 150.0),369.9391,380.512,0.1511726,12.27458,47.704,27.776
Truck-101,Route-101,(675.0 0.0 155.5),(625.0 0.0 100.0),384.2766,391.032,0.08015827,10.02646,30.272,55.736
Truck-102,Route-102,(425.0 0.0 155.5),(625.0 0.0 0.0),391.4453,391.48,0.0003801129,9.104186,29.928,56.52
Truck-107,Route-107,(675.0 0.0 105.5),(125.0 0.0 0.0),395.0296,397.496,0.02595402,8.833244,55.008,37.432
Truck-109,Route-109,(175.0 0.0 55.5),(625.0 0.0 50.0),412.9514,411.24,-0.01515134,7.477091,37.008,69.224
